Attribute,Component Mapping,Default Value
color,material.color,#FFF
height,geometry.height,1
metalness,material.metalness,0
opacity,material.opacity,1
open-ended,geometry.openEnded,true
radius,geometry.radius,2
repeat,material.repeat,None
roughness,material.roughness,0.5
segments-height,geometry.segmentsHeight,18
segments-radial,geometry.segmentsRadial,48
shader,material.shader,flat
side,material.side,double
src,material.src,None
theta-length,geometry.thetaLength,270
theta-start,geometry.thetaStart,0
transparent,material.transparent,true
