Attribute,Component Mapping,Default Value
color,material.color,#FFF
metalness,material.metalness,0
opacity,material.opacity,1
phi-length,geometry.phiLength,360
phi-start,geometry.phiStart,0
radius,geometry.radius,500
repeat,material.repeat,None
roughness,material.roughness,0.5
segments-height,geometry.segmentsHeight,32
segments-width,geometry.segmentsWidth,64
shader,material.shader,flat
side,material.side,back
src,material.src,None
theta-length,geometry.thetaLength,180
theta-start,geometry.thetaStart,0
transparent,material.transparent,false
